date,type,amount,category,note
2026-06-01,income,1200,salary,June salary
2026-06-02,expense,450,rent,June rent
2026-06-05,expense,60,groceries,Weekly shopping
2026-06-10,expense,15,transport,Monthly transit pass
2026-06-18,expense,80,groceries,Weekly shopping
2026-06-25,expense,20,leisure,Cinema with friends
2026-07-01,income,1200,salary,July salary
2026-07-02,expense,450,rent,July rent
2026-07-06,expense,65,groceries,Weekly shopping
2026-07-10,expense,15,transport,Monthly transit pass
2026-07-20,expense,70,groceries,Weekly shopping
2026-08-01,income,1200,salary,August salary
2026-08-02,expense,450,rent,August rent
2026-08-08,expense,55,groceries,Weekly shopping
2026-08-10,expense,15,transport,Monthly transit pass
2026-08-22,expense,90,groceries,Weekly shopping
